Titlu,Descriere,Categorie
"Comunicare profesională şi traductologie, conferinţă internaţională","Ediţia a VIII-a a conferinţei organizată de Departamentul de Comunicare și Limbi Străine în perioada 4-5 aprilie 2013, este centrată pe tema Comunicarea ştiinţei în societatea bazată pe cunoaştere. Conferința, la care participă 120 de reprezentanți din 16 țări, își propune să evidenţieze contribuţia ştiinţelor umaniste şi sociale la dezvoltarea şi promovarea rezultatelor inovaţiei ştiinţifice [...]",EVENIMENT
UPT distinsă la Târgul ENREG ENERGIA REGENERABILĂ,"Cu ocazia celei de-a V-a ediţii a Târgului ENREG ENERGIA REGENERABILĂ, 6-8 martie 2013, la Expo Arad Internaţional, Universitatea „Politehnica” din Timişoara a diseminat proiectele PRACTICOR, RESGAS2011, TRANSAIRCULTUR, AirQ, ROD Picker şi BioHeat. Dată fiind implicarea activă şi în precedentele ediţii, prin stand şi conferinţe profesionale, UPT a primit din partea organizatorului REECO EXPO, în [...]",EVENIMENT
Prezentare Fulbright student & postdoc,"Invitaţie la prezentarea Comisiei Româno &#8211; U.S. Fulbright a burselor studenţeşti şi postdoctorale, ce va avea loc în data de 20.03.2013, ora 12,45, sala D001, corpul Electro.",EVENIMENT
Schimbare furnizor servicii telefonie fixă în UPT,"&#160; Operaţiunea de portare a numerelor de telefon UPT din reţeaua de telefonie fixă  Romtelecom în reţeaua de telefonie fixă Vodafone s-a încheiat, astfel că, din 26 aprilie 2013, toate telefoanele fixe din UPT fac parte din reţeaua de telefonie fixă Vodafone, numerotaţia rămânând neschimbată.",INFORMATIZARE
Susţinere teză de abilitare în Inginerie Civilă,"Vă invităm să participaţi la susţinerea publică a tezei de abilitare în domeniul Inginerie Civilă a dlui Constantin Radu GOGU de la Universitatea Tehnică de Construcţii din Bucureşti. Susţinerea va avea loc în cadrul UPT, vineri, 19.04.2013, ora 10, în Sala mică a Senatului UPT. Comisia de abilitare: Prof.dr.ing. Ioan DAVID &#8211; Universitatea &#8220;Politehnica&#8221; din Timişoara; [...]",CERCETARE - COOPERARE
Continuitatea accesului la literatura ştiinţifică de cercetare,"UPT, ca membru al Asociaţiei Anelis Plus asigură continuitatea accesului la resursele electronice abonate în perioada noiembrie 2012-ianuarie 2013, până în momentul semnării noilor contracte.",CERCETARE - COOPERARE
Acces la platforma Wiley Online Library – până în 31.05.2013,"UPT, în calitate de membru, cu angajament financiar pe 3 ani, al Asociaţiei Universităţilor, Institutelor de Dezvoltare-Cercetare şi Bibliotecilor Centrale Universitare din România ANELIS PLUS, oferă acces gratuit la literatura ştiinţifică de cercetare de pe platforma  Wiley Online , până în 31.05.2013. Accesul este permis din reţeaua Intranet a universităţii, pe baza autentificării IP-urilor, fără [...]",CERCETARE - COOPERARE
Programele de calculator Microsoft Windows şi Microsoft Office – licenţiat UPT,"Programele de calculator Microsoft Windows 7/8, Microsoft Office 2010/2013, Microsoft Office 2011 pentru Mac şi Forefront EndPoint Protection 2012 se pot descărca aici. Se recomandă a se instala Windows 7 şi Office 2010. Windows 8 şi Office 2013 se recomandă a se instala doar în scop experimental de cine doreşte să se familiarizeze cu aceste [...]",INFORMATIZARE
"Conferinţă susţinută de profesorul Toru MAEKAWA, director al Bio-Nano Electronics Research Centre, Universitatea Toyo, Japonia","UPT găzduieşte, miercuri 5 iunie 2013, ora 15:00, în Sala Mică a Senatului, conferinţa susţinută de profesorul Toru MAEKAWA, director al Bio-Nano Electronics Research Centre, Universitatea Toyo, Japonia. Tematica conferinţei este  “Creation of nano structures via self-organisation and self-assembly and the application of nano structures to biomedical engineering”. Afişul evenimentului.",EVENIMENT
InfoDay Timișoara: Programele opționale ale ESA pentru Observarea Terrei și programe conexe,"Pe parcursul anului 2013, Agenția Spațială Română (ROSA) va organiza în întreaga țară o serie de sesiuni informative dedicate prezentării programelor Agenției Spațiale Europene (ESA) în domeniile observării Terrei şi radionavigației prin satelit, a programelor conexe și a oportunităților pe care acestea le oferă. În Timișoara sesiunea de informare va fi organizată în data de [...]",EVENIMENT
"A 4-a programare a examenelor/evaluărilor/susţinerilor de proiecte pentru studenţii din anii terminali, ciclul licenţă","A 4-a programare a examenelor_evaluărilor_susţinerilor de proiecte pentru studenţii din anii terminali, ciclul licenţă",DIDACTIC
Identităţi culturale,"Facultatea de Științe ale Comunicării are onoarea de a-l avea ca invitat pe Excelenta Sa, domnul Tsushima Kanji, personalitate marcantă, fost ambasador al Japoniei la Bucureşti, care va susţine marţi, 21 mai 2013, ora 12.00, sala Ca3, în faţa studenților și a iubitorilor culturii nipone, prelegeri despre experiențele sale personale pe teme specifice specializărilor facultății [...]",EVENIMENT
Declanşarea concursului public de desemnare a decanului la Facultatea de Electrotehnică şi Electroenergetică,Declanşarea concursului public de desemnare a decanului la Facultatea de Electrotehnică şi Electroenergetică,ALTE ANUNȚURI
"Susţinere teză de abilitare în Electronică, Telecomunicații și Nanotehnologii","Vă invităm să participaţi la susţinerea publică a tezei de abilitare în domeniul Electronică, Telecomunicaţii și Nanotehnologii a d-lui Prof.dr.ing. Aldo DE SABATA de la Universitatea „Politehnica” din Timișoara, susţinere care va avea loc marți, 14.05.2013, ora 10, în Sala Mare a Senatului UPT. Comisia de abilitare: Prof.dr.ing. Ioan NICOLAESCU &#8211; Academia Tehnică Militară, București, Prof.dr.ing. [...]",CERCETARE - COOPERARE
"Conferinţă susţinută de prof. W. Bahnfleth de la Pennsylvania State University, SUA","UPT găzduieşte, vineri 10 mai 2013, ora 11:00, în Sala Mare a Senatului, conferinţa susţinută de profesorul William P. Bahnfleth de la Pennsylvania State University, SUA. Tematica conferinţei este  &#8220;Integrating Indoor Air Quality and Energy Efficiency in Buildings&#8221;. Începând cu luna iunie 2013, prof. William P. Bahnfleth va fi preşedintele ASHRAE timp de un an.",EVENIMENT
Conferinţa Internaţională Advanced in Environmental Science – “Join us for a clean and energy secure future. Tendencies & Solutions”,"În organizarea Centrului de Cercetări pentru Mașini termice, Transporturi și Protecția mediului  se organizează nouă sesiuni tematice de interes, în zilele de 11-12 iunie 2013, vizând aspecte precum: Tehnici optoelectronice pentru monitorizarea mediului,  Tehnici avansate de monitorizare continuă a calității aerului în zone transfrontaliere,  Tehnologii avansate în domenii diverse pentru dezvoltarea durabilă, Soluții practice de valorificare [...]",EVENIMENT
"Conferinţa finală a proiectului “Reţea transnaţională educaţională privind orientarea, consilierea şi practica pentru carieră, corelate cu piaţa muncii, în societatea cunoaşterii – PRACTICOR”","Universitatea &#8220;Politehnica&#8221; din Timişoara, în calitate de coordonator, împreună cu partenerii: Universitatea din Piteşti, Institutul de Studii şi Proiectări Energetice ISPE Bucureşti şi FRAUNHOFER – Gesellschaft zur Förderung der angewandten Forschung din Germania organizează în data de 11-12 iunie 2013 conferinţa finală a proiectului PRACTICOR”. Proiectul este co-finanţat din Fondul Social European prin Programul Operaţional Sectorial [...]",EVENIMENT
COGITO-activitate ştiinţifică on-line,"UPT a lansat, în 23 iulie 2013, la adresa https://cogito.upt.ro, portalul pentru centralizarea rezultatelor activităţii ştiinţifice. Accesul se realizează pe bază de nume utilizator şi parolă: - numele utilizator (pentru toţi utilizatorii) este de tipul prenume.nume, fiind identic cu cel utilizat la adresa de e-mail standard, - parola se obţine urmând link-ul Am uitat parola [...]",CERCETARE - COOPERARE
Elsevier acces on-line,"UPT, în cadrul ANELIS+, are acces free-trial la bazele de date: Elsevier &#8211; Science Direct Freedom Collection, cu articole full-text (anul curent şi 4 ani arhivă); Elsevier – Scopus. Accesul se poate face din pagina web a Bibliotecii, de la adresa: http://www.library.upt.ro/index.html?resurse&#38;47motoare&#38;Baze_de_date_online&#38;7 şi, ca şi până acum: 1. pe baza identificării IP-urilor, din Intranetul UPT [...]",CERCETARE - COOPERARE
MPT are cei mai populari studenţi antreprenori,"&#160; O echipă de studenți de la Facultatea de Management în Producție și Transporturi a câștigat premiul de popularitate al competiţiei naționale de antreprenoriat Compania Anului 2013. Junior Achievement România (JAR) şi-a desemnat câștigătorii, la secțiunile elevi și studenți, în cadrul unei ceremonii deschise de domnul Remus Pricopie, Ministrul Educației Naționale. Câştigătorii celei de-a XI-a [...]",EVENIMENT
Studenţi la Calculatoare cu realizări de vârf,"Mai mulți studenți și proaspeţi absolvenți ai specializării Calculatoare și Tehnologia Informației au obținut recent performanțe de vârf, cu recunoaștere internațională. Otilia Stretcu, studentă în anul III CTI, a obținut bursa memorială Anita Borg acordată de Google pentru a încuraja performanța femeilor în domeniul calculatorelor. Otilia va participa la întâlnirea anuală organizată de Google la [...]",EVENIMENT
Studenţii de la Mecanică premiaţi din nou,"Facultatea de Mecanică a participat cu cinci studenți la faza națională a Concursului „C. C. Teodorescu” la disciplina Rezistenţa materialelor. Cei  5 studenți, coordonați de șl. dr. ing. Mihai Hlușcu, au câștigat la Cluj trei premii I și două mențiuni. Continuând șirul de rezultate excepționale, premianții de anul acesta, de la profilele mecanic și nemecanic ale [...]",EVENIMENT
Ambasadorul Republicii Macedonia în vizită de lucru la Universitatea „Politehnica” din Timişoara,"Ambasadorul Republicii Macedonia, E.S. Dl. Pande Lazarevski,  şi Rectorul Universităţii pentru Ştiinţa şi Tehnologia Informaţiei „Sf. Apostol Pavel” din Ohrid, dl  Ninoslav Marina, au vizitat vineri, 28.06.2013, Universitatea „Politehnica” din Timişoara.  Scopul întrevederii a fost discutarea termenilor unei viitoare cooperări între cele două universităţi. Acordul cadru de cooperare vizează mobilitatea cadrelor didactice universitare, mobilitatea studenţilor [...]",EVENIMENT
Universitatea „Politehnica” din Timişoara – gazdă a unei ceremonii la nivel înalt,"Vineri, 28.06.2013, Universitatea „Politehnica” din Timişoara a găzduit, în Sala Mare a Senatului, ceremonia de decernare a Crucii de Onoare pentru Ştiinţă şi Artă a Republicii Austria doamnei prof. univ. dr. Roxana Nubert. Distincţia a fost înmânată de Ambasadorul Republicii Austria la Bucureşti, Michael Schwarzinger, în prezenţa reprezentantului minorităţii germane în Parlamentul României, Karl Singer, [...]",EVENIMENT
Universitatea „Politehnica” din Timişoara premiază câştigătorii concursului naţional ITEC,"Dănescu  Claudiu, Bănuţ Victor, Tamaş Andrei-Alexandru şi Titonia Florin sunt câştigătorii locului I la concursul naţional ITEC (IT Engineering Contest ), secţiunea RoboTEC, desfăşurat în perioada 11-15 aprilie 2013 la Universitatea „Politehnica” din Timişoara. Studenţii vor primi burse speciale din partea universităţii, în conformitate cu prevederile Articolului 1(1) din hotărârea Consiliului de Administraţie nr. 10/ 28.05.2012, [...]",EVENIMENT
Premiul I la concursul Imagine Cup câştigat de studenţi ai Universităţii „Politehnica” din Timişoara,"Anul acesta prestigiosul concurs Imagine Cup organizat de compania Microsoft a fost câştigat de patru studenţi de la Facultatea de Automatică şi Calculatoare. Andrei Avramenscu, Diana Lascu, Roxana Pădurariu şi Giuliano de Sabata, sub îndrumarea d-lui s.l. dr. ing. Sebastian Fuicu, s-au calificat pentru finala mondială, care va avea loc la Sankt Petersburg, în perioada [...]",EVENIMENT
Achiziţii IT,Hotărârea Consiliului de Administraţie nr. 25/17.09.2013 referitor la achiziţii şi reparaţii de echipamente şi reţea IT.,ALTE ANUNȚURI
Editura Politehnica – premiată de AGIR,"În anul 2013, Editura Politehnica a obţinut două diplome de la Asociaţia Generală a Inginerilor din România (AGIR). Prima a fost acordată autorului ing. Mircea Eugen Şelariu şi, implicit, Editurii Politehnica pentru lucrarea SUPERMATEMATICA, apărută în două volume. A doua diplomă a fost acordată editurii noastre pentru calendarul pe 2013. Conform AGIR această distincţie recunoaşte [...]",EVENIMENT
Noua identitate vizuală,Hotărârea Consiliului de Administraţie nr. 22/10.09.2013 referitor la noua identitate vizuală a UPT.,ALTE ANUNȚURI
Research Report 2012,"Raportul de cercetare al UPT, pe anul 2012, este disponibil la adresa http://www.upt.ro/research_report_2012/. Noul format îşi propune reflectarea, în diverse forme, a activităţii şi a realizărilor ştiinţifice. Sunt binevenite orice observaţii şi sugestii, atât pentru îmbunătăţirea structurii volumului, cât şi pentru creşterea vizibilităţii performanţei ştiinţifice din UPT.",CERCETARE - COOPERARE
ANELIS Plus – Prezentare acces electronic la literatura științifică,"Universitatea Politehnica Timişoara, ca parte a Asociaţiei Universităţilor, Institutelor de Cercetare-Dezvoltare şi Bibliotecilor Centrale Universitare din România Anelis Plus, în calitate de beneficiar, și SC E-nformation SRL, în calitate de furnizor, vă invită să participați marţi 29.10.2013, ora 12.00, în sala 150 a Facultăţii de Mecanică la prezentarea Acces electronic la literatura ştiinţifică pentru susţinerea și promovarea sistemului de cercetare și educaţie din România. Cadrele didactice, [...]",CERCETARE - COOPERARE
AMS 2013 – 5th International Conference,"În perioada 24-25 octombrie, Departamentul Ingineria Materialelor şi Fabricaţiei organizează împreună cu Fundaţia Politehnica a V-a ediţie a Conferinţei Internaţionale „Advanced Materials and Structures – AMS 2013”. Conferința este prezidată de prof. dr. Viorel-Aurel Şerban, Rectorul UPT, şi acoperă teme importante din domeniul Ştiinţei şi Ingineriei Materialelor Avansate precum: tehnologie de fabricaţie, caracterizare de proprietăţi, aplicaţii avansate, metode de investigare şi modelare matematică. Sesiunile conferinţei internaţionale [...]",EVENIMENT
"Zilele Carierei, ediția a III-a","Cea de-a  treia ediţie a „Zilelor Carierei” va avea loc în perioada 23-24 octombrie 2013. Evenimentul găzduieşte aproximativ 50 de companii, care vor prezenta ofertele de locuri de muncă, de practică, precum și alte posibilităţi de colaborare. Participanţii sunt invitaţi să audieze prezentările companiilor, să intre în contact direct cu reprezentanții acestora, să îşi depună CV-urile la standurile [...]",EVENIMENT
Logo UPT,"Universitatea Politehnica Timişoara are un nou logo ca parte dintr-o acţiune mai amplă de definire a identităţii sale vizuale. Acest logo este însoţit de câteva recomandări privind utilizarea lui. Atât logo-ul, cât şi reglementarea utilizării sale, se regăsesc anexate. &#160; Reguli utilizare sigla UPT &#160; &#160;",ALTE ANUNȚURI
